name,params,length,output_type,parsetime,vars_per_state,add_size,precomp_time,trace_time
brp,N_32_MAX_3,8,segfault,-1,-1,-1,-1,-1
brp,N_32_MAX_3,12,ok,273.518413,33,1434,1634.517704,-1
brp,N_32_MAX_3,16,ok,271.702443,33,1425,2669.389619,4.912516
brp,N_32_MAX_3,24,ok,211.763354,33,1425,2161.395746,7.686848
brp,N_32_MAX_3,32,ok,173.694203,33,1434,7945.658824,10.493973
brp,N_32_MAX_3,48,ok,178.806456,33,1450,7783.491313,16.703783
brp,N_32_MAX_3,64,ok,271.628675,33,1438,37330.135540,22.449359
brp,N_32_MAX_3,96,segfault,-1,-1,-1,-1,-1
brp,N_32_MAX_3,128,ok,274.639031,33,1437,153323.199945,48.383724
brp,N_64_MAX_4,8,ok,285.439663,35,1873,1475.980034,-1
brp,N_64_MAX_4,12,segfault,-1,-1,-1,-1,-1
brp,N_64_MAX_4,16,segfault,-1,-1,-1,-1,-1
brp,N_64_MAX_4,24,ok,281.406471,35,1873,4832.727201,7.944532
brp,N_64_MAX_4,32,ok,179.398797,35,1870,15865.546549,11.240472
brp,N_64_MAX_4,48,ok,214.091888,35,1881,14959.344841,17.104073
brp,N_64_MAX_4,64,ok,284.061703,35,1884,53100.520602,24.117747
brp,N_64_MAX_4,96,ok,247.975031,35,1870,107345.343057,38.317906
brp,N_64_MAX_4,128,ok,285.039577,35,1883,262676.444662,55.597207
crowds,TotalRuns_3_CrowdSize_15,8,ok,1161.492729,57,6278,6529.516643,-1
crowds,TotalRuns_3_CrowdSize_15,12,ok,1174.586689,57,6278,6249.911871,8.986620
crowds,TotalRuns_3_CrowdSize_15,16,ok,1089.167925,57,6278,32763.376061,11.115322
crowds,TotalRuns_3_CrowdSize_15,24,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_15,32,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_15,48,ok,1224.579547,57,6280,73367.391632,86.913992
crowds,TotalRuns_3_CrowdSize_15,64,ok,1258.267143,57,6277,484897.383879,63.436576
crowds,TotalRuns_3_CrowdSize_15,96,ok,1187.227148,57,6278,400279.808101,144.014382
crowds,TotalRuns_3_CrowdSize_15,128,ok,687.276415,57,6278,455786.141838,116.972612
herman,7,8,ok,4.402334,7,158,10926.280534,7.802048
herman,7,12,ok,2.519888,7,158,10853.861539,8.145559
herman,7,16,ok,1.741080,7,158,29706.100231,9.775571
herman,7,24,ok,3.660475,7,158,31410.725241,10.066803
herman,7,32,ok,2.595541,7,158,72752.915645,12.168936
herman,7,48,ok,3.147775,7,158,73214.304911,12.959554
herman,7,64,ok,3.129921,7,158,74822.845168,15.509703
herman,7,96,ok,2.508227,7,158,74646.977813,15.856008
herman,7,128,ok,2.882578,7,158,160727.950143,24.111946
crowds,TotalRuns_4_CrowdSize_20,8,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,12,ok,8474.971007,78,17435,19999.586072,16.608245
crowds,TotalRuns_4_CrowdSize_20,16,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,24,ok,8549.232303,78,17436,101351.851512,50.823561
crowds,TotalRuns_4_CrowdSize_20,32,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,48,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,64,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,96,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,128,segfault,-1,-1,-1,-1,-1
brp,N_32_MAX_3,8,ok,254.806382,33,1446,1645.262441,-1
brp,N_32_MAX_3,12,ok,175.202530,33,1458,1094.649009,-1
brp,N_32_MAX_3,16,segfault,-1,-1,-1,-1,-1
brp,N_32_MAX_3,24,segfault,-1,-1,-1,-1,-1
brp,N_32_MAX_3,32,ok,249.501279,33,1445,7789.308507,10.153494
brp,N_32_MAX_3,48,ok,185.188858,33,1425,7483.004173,16.105900
brp,N_32_MAX_3,64,segfault,-1,-1,-1,-1,-1
brp,N_32_MAX_3,96,ok,247.984601,33,1438,29735.484308,34.402996
brp,N_32_MAX_3,128,segfault,-1,-1,-1,-1,-1
brp,N_64_MAX_4,8,ok,261.286812,35,1878,1544.381094,-1
brp,N_64_MAX_4,12,ok,174.991735,35,1883,1137.963860,3.445882
brp,N_64_MAX_4,16,ok,166.698513,35,1880,4176.183302,4.987052
brp,N_64_MAX_4,24,segfault,-1,-1,-1,-1,-1
brp,N_64_MAX_4,32,ok,257.397868,35,1879,14099.247735,10.992211
brp,N_64_MAX_4,48,ok,159.392949,35,1883,13684.948730,17.022684
brp,N_64_MAX_4,64,ok,258.446259,35,1873,83933.258020,24.114784
brp,N_64_MAX_4,96,segfault,-1,-1,-1,-1,-1
brp,N_64_MAX_4,128,ok,257.068069,35,1872,193903.980168,51.554585
crowds,TotalRuns_3_CrowdSize_15,8,ok,1040.704296,57,6278,5907.887206,-1
