name,params,length,output_type,parse_time,states,trans,precomp_time,newmat,prob,sample_time
egl,N_10_L_2,8,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_2,15,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_2,16,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_2,31,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_2,32,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_2,48,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_2,63,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_2,64,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_2,96,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_2,127,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_2,128,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,8,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,15,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,16,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,31,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,32,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,48,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,63,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,64,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,96,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,127,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_10_L_4,128,Killed,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_2,8,numeric,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_2,15,numeric,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_2,16,numeric,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_2,31,ok,400.696449,33790,34813,-1,-1,0.0302734375,6.818223
egl,N_5_L_2,32,ok,398.336206,33790,34813,4013.609489,4,0.0302734375,7.453322
egl,N_5_L_2,48,numeric,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_2,63,numeric,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_2,64,numeric,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_2,96,numeric,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_2,127,numeric,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_2,128,numeric,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,8,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,15,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,16,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,31,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,32,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,48,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,63,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,64,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,96,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,127,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_4,128,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,8,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,15,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,16,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,31,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,32,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,48,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,63,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,64,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,96,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,127,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_6,128,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,8,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,15,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,16,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,31,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,32,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,48,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,63,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,64,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,96,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,127,overflow,-1,-1,-1,-1,-1,-1,-1
egl,N_5_L_8,128,overflow,-1,-1,-1,-1,-1,-1,-1
leader,sync3_2,8,ok,51.660223,26,33,83.553186,2,0.9375,3.174480
leader,sync3_2,15,ok,12.889073,26,33,-1,-1,0.984375,4.785560
leader,sync3_2,16,ok,7.386822,26,33,4.220479,3,0.99609375,5.174286
leader,sync3_2,31,ok,9.820533,26,33,-1,-1,0.99993896484375,8.022341
leader,sync3_2,32,ok,1.585501,26,33,2.318535,4,0.9999847412109375,6.921047
leader,sync3_2,48,ok,1.477269,26,33,-1,-1,0.9999999403953552,9.730233
leader,sync3_2,63,ok,1.509769,26,33,-1,-1,0.9999999990686774,12.726731
leader,sync3_2,64,ok,1.479933,26,33,2.364681,5,0.9999999997671694,13.379024
leader,sync3_2,96,ok,1.524857,26,33,-1,-1,0.9999999999999964,19.839684
leader,sync3_2,127,ok,1.525308,26,33,-1,-1,1.0,26.318469
leader,sync3_2,128,ok,1.797448,26,33,2.234758,6,1.0,26.244201
leader,sync3_3,8,ok,4.347617,69,95,25.264502,2,0.9876543210745674,2.219545
leader,sync3_3,15,ok,2.149929,69,95,-1,-1,0.9986282579770643,2.989847
leader,sync3_3,16,ok,2.133528,69,95,5.253915,3,0.9998475842996611,3.483204
leader,sync3_3,31,ok,2.233295,69,95,-1,-1,0.9999997910148416,6.306287
leader,sync3_3,32,ok,2.043750,69,95,5.191248,4,0.9999999768594263,6.735019
leader,sync3_3,48,ok,2.417911,69,95,-1,-1,1.0000000000864588,10.241799
leader,sync3_3,63,ok,2.178402,69,95,-1,-1,1.000000000089995,12.842147
leader,sync3_3,64,ok,2.166139,69,95,5.168245,5,1.000000000089999,13.253108
leader,sync3_3,96,ok,2.126735,69,95,-1,-1,1.0000000000899996,19.924885
leader,sync3_3,127,ok,2.075690,69,95,-1,-1,1.0000000000899998,25.743803
leader,sync3_3,128,ok,2.427419,69,95,5.274864,6,1.0000000000899993,26.356463
leader,sync3_4,8,ok,4.340934,147,210,30.546159,2,0.99609375,1.855541
leader,sync3_4,15,ok,3.606388,147,210,-1,-1,0.999755859375,2.955918
leader,sync3_4,16,ok,3.281429,147,210,10.628556,3,0.9999847412109375,3.546130
leader,sync3_4,31,ok,5.825557,147,210,-1,-1,0.9999999962747097,7.741881
