name,params,length,output_type,parse_time,states,trans,precomp_time,newmat,prob,sample_time
herman,7,8,ok,42.593581,128,2188,84.819365,2,0.8467984500166494,19.536462
herman,7,16,ok,21.981308,128,2188,19.008690,3,0.9711507702247664,27.973554
herman,7,32,ok,20.789004,128,2188,19.614465,4,0.998974712211629,31.615425
herman,7,64,ok,20.571337,128,2188,19.736383,5,0.9999987049933451,39.117949
herman,7,128,ok,21.422962,128,2188,20.526563,6,0.9999999999979339,52.736350
brp,16_2,8,ok,11.007600,677,867,173.849214,2,8.000000000000001e-06,3.992130
brp,16_2,12,ok,11.468014,677,867,-1,-1,1.176e-05,3.345227
brp,16_2,16,ok,9.572245,677,867,55.513901,3,9.41192e-07,6.191959
brp,16_2,24,ok,10.338154,677,867,-1,-1,1.1149307725248e-05,6.456444
brp,16_2,32,ok,10.142062,677,867,55.393106,4,5.935165549404448e-06,10.359624
brp,16_2,48,ok,9.651214,677,867,-1,-1,1.0224757443365825e-05,12.600825
brp,16_2,64,ok,9.691798,677,867,64.160835,5,2.3499190658864e-06,19.628921
brp,16_2,96,ok,10.575500,677,867,-1,-1,8.835645696007822e-06,26.138808
brp,16_2,128,ok,9.789168,677,867,65.405090,6,7.981227818838935e-13,37.307883
brp,64_2,8,ok,37.721278,2693,3459,657.459464,2,8.000000000000001e-06,33.672395
brp,64_2,12,ok,35.104779,2693,3459,-1,-1,1.176e-05,3.156596
brp,64_2,16,ok,36.793795,2693,3459,222.164949,3,9.41192e-07,35.935146
brp,64_2,24,ok,34.466831,2693,3459,-1,-1,1.1149307725248e-05,6.339068
brp,64_2,32,ok,35.532081,2693,3459,234.279295,4,5.935165549404448e-06,40.342325
brp,64_2,48,ok,35.135076,2693,3459,-1,-1,1.0224757443365825e-05,12.904821
brp,64_2,64,ok,40.663646,2693,3459,269.065228,5,2.3499190658864e-06,49.412361
brp,64_2,96,ok,34.651046,2693,3459,-1,-1,8.835645696007822e-06,24.885741
brp,64_2,128,ok,36.038557,2693,3459,378.227244,6,6.368939964429695e-06,66.378075
brp,N_16_MAX_2,8,ok,10.908494,677,867,167.214001,2,8.000000000000001e-06,3.916697
brp,N_16_MAX_2,12,ok,10.674981,677,867,-1,-1,1.176e-05,3.373494
brp,N_16_MAX_2,16,ok,10.107597,677,867,53.823898,3,9.41192e-07,6.052406
brp,N_16_MAX_2,24,ok,9.824403,677,867,-1,-1,1.1149307725248e-05,6.308365
brp,N_16_MAX_2,32,ok,9.379513,677,867,56.665364,4,5.935165549404448e-06,10.559715
brp,N_16_MAX_2,48,ok,9.606331,677,867,-1,-1,1.0224757443365825e-05,12.475620
brp,N_16_MAX_2,64,ok,9.603432,677,867,59.795603,5,2.3499190658864e-06,18.565254
brp,N_16_MAX_2,96,ok,10.561041,677,867,-1,-1,8.835645696007822e-06,25.658652
brp,N_16_MAX_2,128,ok,9.493791,677,867,63.928992,6,7.981227818838935e-13,36.303809
brp,N_16_MAX_3,8,ok,13.866641,886,1155,220.493029,2,0.0,-1
brp,N_16_MAX_3,12,numeric,-1,-1,-1,-1,-1,-1,-1
brp,N_16_MAX_3,16,ok,13.111727,886,1155,80.772854,3,2.30496e-07,7.387248
brp,N_16_MAX_3,24,ok,12.504623,886,1155,-1,-1,8.062750079999999e-08,6.210052
brp,N_16_MAX_3,32,ok,12.597483,886,1155,72.606978,4,3.0279090465620857e-07,11.096425
brp,N_16_MAX_3,48,ok,12.495301,886,1155,-1,-1,1.0027278247609443e-07,12.334139
brp,N_16_MAX_3,64,ok,12.440013,886,1155,88.557338,5,2.2942044049565312e-07,19.687651
brp,N_16_MAX_3,96,ok,12.493720,886,1155,-1,-1,1.3116456021665463e-07,25.368105
brp,N_16_MAX_3,128,ok,12.521642,886,1155,106.062523,6,4.1149001784028667e-13,37.453520
brp,N_16_MAX_4,8,ok,17.007517,1095,1443,272.235281,2,0.0,-1
brp,N_16_MAX_4,12,ok,17.005870,1095,1443,-1,-1,3.2000000000000005e-09,3.150352
brp,N_16_MAX_4,16,ok,14.752749,1095,1443,88.606742,3,7.84e-09,8.044271
brp,N_16_MAX_4,24,ok,15.173537,1095,1443,-1,-1,7.696760079679998e-09,6.182240
brp,N_16_MAX_4,32,ok,16.167458,1095,1443,100.205638,4,3.9997067531878195e-09,12.818392
brp,N_16_MAX_4,48,ok,15.118091,1095,1443,-1,-1,7.605363209558781e-09,12.780713
brp,N_16_MAX_4,64,ok,15.861370,1095,1443,125.892507,5,7.920664248495972e-09,20.511677
brp,N_16_MAX_4,96,ok,15.302174,1095,1443,-1,-1,7.4285579475303865e-09,25.134295
brp,N_16_MAX_4,128,ok,15.111505,1095,1443,173.160163,6,1.3119592906398483e-13,39.368106
brp,N_16_MAX_5,8,ok,18.969844,1304,1731,299.362910,2,0.0,-1
brp,N_16_MAX_5,12,numeric,-1,-1,-1,-1,-1,-1,-1
brp,N_16_MAX_5,16,ok,18.789105,1304,1731,106.275766,3,0.0,-1
brp,N_16_MAX_5,24,ok,18.712380,1304,1731,-1,-1,2.378949216e-10,6.619812
brp,N_16_MAX_5,32,ok,20.126136,1304,1731,118.666907,4,2.372447148435302e-10,13.816187
brp,N_16_MAX_5,48,ok,17.505193,1304,1731,-1,-1,2.3155572147302078e-10,12.395766
brp,N_16_MAX_5,64,ok,17.797620,1304,1731,171.613249,5,1.6674280947617704e-10,21.934209
brp,N_16_MAX_5,96,ok,18.399340,1304,1731,-1,-1,2.2265421797624e-10,26.724889
brp,N_16_MAX_5,128,ok,18.201920,1304,1731,278.294730,6,3.5269171887896026e-14,39.864257
brp,N_32_MAX_2,8,ok,19.157706,1349,1731,305.522161,2,8.000000000000001e-06,9.326029
brp,N_32_MAX_2,12,ok,19.134394,1349,1731,-1,-1,1.176e-05,3.177394
brp,N_32_MAX_2,16,ok,19.362258,1349,1731,110.635613,3,9.41192e-07,11.648732
brp,N_32_MAX_2,24,ok,17.869467,1349,1731,-1,-1,1.1149307725248e-05,6.243439
brp,N_32_MAX_2,32,ok,18.735322,1349,1731,113.085569,4,5.935165549404448e-06,15.918169
brp,N_32_MAX_2,48,ok,18.758197,1349,1731,-1,-1,1.0224757443365825e-05,12.942711
brp,N_32_MAX_2,64,ok,18.105322,1349,1731,126.355793,5,2.3499190658864e-06,24.915799
