name,params,length,setup_time,sample_time,suc_count,total_time
crowds,TotalRuns=3 CrowdSize=5,8,532.371375,-1,0,1751.069580
crowds,TotalRuns=3 CrowdSize=5,16,42.907818,5.929092,500,-1
crowds,TotalRuns=3 CrowdSize=5,32,40.789881,3.542434,500,-1
crowds,TotalRuns=3 CrowdSize=5,64,42.289740,5.115261,500,-1
crowds,TotalRuns=3 CrowdSize=5,128,40.856013,10.127190,500,-1
crowds,TotalRuns=4 CrowdSize=5,8,49.016504,-1,0,1824.819188
crowds,TotalRuns=4 CrowdSize=5,16,48.523152,6.372735,500,-1
crowds,TotalRuns=4 CrowdSize=5,32,49.609550,3.021244,500,-1
crowds,TotalRuns=4 CrowdSize=5,64,48.786687,3.032019,500,-1
crowds,TotalRuns=4 CrowdSize=5,128,47.449039,5.834573,500,-1
crowds,TotalRuns=5 CrowdSize=5,8,66.776786,-1,0,1757.886073
crowds,TotalRuns=5 CrowdSize=5,16,65.909227,6.134719,500,-1
crowds,TotalRuns=5 CrowdSize=5,32,67.456390,3.026522,500,-1
crowds,TotalRuns=5 CrowdSize=5,64,66.627311,2.108130,500,-1
crowds,TotalRuns=5 CrowdSize=5,128,65.831705,3.900135,500,-1
crowds,TotalRuns=6 CrowdSize=5,8,104.414141,-1,0,1734.595666
crowds,TotalRuns=6 CrowdSize=5,16,103.728006,6.233940,500,-1
crowds,TotalRuns=6 CrowdSize=5,32,103.021095,3.293050,500,-1
crowds,TotalRuns=6 CrowdSize=5,64,102.751579,2.076129,500,-1
crowds,TotalRuns=6 CrowdSize=5,128,102.275438,2.730828,500,-1
crowds,TotalRuns=3 CrowdSize=10,8,59.862083,-1,0,1733.105933
crowds,TotalRuns=3 CrowdSize=10,16,60.018325,-1,471,3327.755092
crowds,TotalRuns=3 CrowdSize=10,32,60.566279,4.995556,500,-1
crowds,TotalRuns=3 CrowdSize=10,64,61.624063,6.794701,500,-1
crowds,TotalRuns=3 CrowdSize=10,128,60.644702,13.673338,500,-1
crowds,TotalRuns=4 CrowdSize=10,8,151.023581,-1,0,1733.510374
crowds,TotalRuns=4 CrowdSize=10,16,151.951084,-1,495,3218.322899
crowds,TotalRuns=4 CrowdSize=10,32,152.903245,3.816797,500,-1
crowds,TotalRuns=4 CrowdSize=10,64,150.989731,4.416530,500,-1
crowds,TotalRuns=4 CrowdSize=10,128,152.338030,8.050857,500,-1
crowds,TotalRuns=5 CrowdSize=10,8,464.890019,-1,0,1818.555419
crowds,TotalRuns=5 CrowdSize=10,16,468.448105,-1,489,3236.475023
crowds,TotalRuns=5 CrowdSize=10,32,459.082422,4.188867,500,-1
crowds,TotalRuns=5 CrowdSize=10,64,459.808082,3.141023,500,-1
crowds,TotalRuns=5 CrowdSize=10,128,463.192320,5.431252,500,-1
crowds,TotalRuns=6 CrowdSize=10,8,1431.554074,-1,0,1898.258008
crowds,TotalRuns=6 CrowdSize=10,16,1401.591938,-1,480,3249.228912
crowds,TotalRuns=6 CrowdSize=10,32,1403.414452,3.820080,500,-1
crowds,TotalRuns=6 CrowdSize=10,64,1435.021299,2.619462,500,-1
crowds,TotalRuns=6 CrowdSize=10,128,1426.409099,3.535833,500,-1
crowds,TotalRuns=3 CrowdSize=15,8,115.548777,-1,0,1799.627673
crowds,TotalRuns=3 CrowdSize=15,16,112.935050,-1,449,3218.192832
crowds,TotalRuns=3 CrowdSize=15,32,113.729297,5.271165,500,-1
crowds,TotalRuns=3 CrowdSize=15,64,114.033253,8.450123,500,-1
crowds,TotalRuns=3 CrowdSize=15,128,115.257667,16.159441,500,-1
crowds,TotalRuns=4 CrowdSize=15,8,525.228729,-1,0,1732.658065
crowds,TotalRuns=4 CrowdSize=15,16,531.670128,-1,477,3288.430082
crowds,TotalRuns=4 CrowdSize=15,32,533.907746,4.458121,500,-1
crowds,TotalRuns=4 CrowdSize=15,64,530.266938,4.011203,500,-1
crowds,TotalRuns=4 CrowdSize=15,128,544.077420,7.658406,500,-1
crowds,TotalRuns=5 CrowdSize=15,8,2537.988201,-1,0,1787.756036
crowds,TotalRuns=5 CrowdSize=15,16,2602.090568,-1,466,3268.772006
crowds,TotalRuns=5 CrowdSize=15,32,2558.532635,4.159027,500,-1
crowds,TotalRuns=5 CrowdSize=15,64,2551.923577,3.364227,500,-1
crowds,TotalRuns=5 CrowdSize=15,128,2531.448886,6.039011,500,-1
crowds,TotalRuns=6 CrowdSize=15,8,10621.917158,-1,0,1746.448836
crowds,TotalRuns=6 CrowdSize=15,16,10523.816907,-1,456,3464.964666
crowds,TotalRuns=6 CrowdSize=15,32,10567.979637,4.601390,500,-1
crowds,TotalRuns=6 CrowdSize=15,64,10482.168169,3.079643,500,-1
crowds,TotalRuns=6 CrowdSize=15,128,10845.338837,3.743626,500,-1
crowds,TotalRuns=3 CrowdSize=20,8,214.444881,-1,0,1745.551780
crowds,TotalRuns=3 CrowdSize=20,16,214.521067,-1,433,3322.025662
crowds,TotalRuns=3 CrowdSize=20,32,216.854320,5.632455,500,-1
crowds,TotalRuns=3 CrowdSize=20,64,211.957820,8.209709,500,-1
crowds,TotalRuns=3 CrowdSize=20,128,216.874458,18.175181,500,-1
crowds,TotalRuns=4 CrowdSize=20,8,1470.712949,-1,0,1742.447427
crowds,TotalRuns=4 CrowdSize=20,16,1480.920874,-1,451,3218.659561
crowds,TotalRuns=4 CrowdSize=20,32,1568.341727,4.508000,500,-1
crowds,TotalRuns=4 CrowdSize=20,64,1471.809529,5.163011,500,-1
crowds,TotalRuns=4 CrowdSize=20,128,1471.706229,8.595980,500,-1
crowds,TotalRuns=5 CrowdSize=20,8,9622.580601,-1,0,1741.326121
crowds,TotalRuns=5 CrowdSize=20,16,9391.083078,-1,475,3215.014168
crowds,TotalRuns=5 CrowdSize=20,32,9500.065203,4.416438,500,-1
crowds,TotalRuns=5 CrowdSize=20,64,9579.169666,3.596875,500,-1
crowds,TotalRuns=5 CrowdSize=20,128,9159.454266,5.780689,500,-1
crowds,TotalRuns=6 CrowdSize=20,8,48430.243289,-1,0,1878.533823
crowds,TotalRuns=6 CrowdSize=20,16,48358.196815,-1,452,3375.715554
crowds,TotalRuns=6 CrowdSize=20,32,48836.102130,4.662938,500,-1
crowds,TotalRuns=6 CrowdSize=20,64,49216.391846,3.135813,500,-1
crowds,TotalRuns=6 CrowdSize=20,128,48342.162985,4.300625,500,-1
leader,sync3_2,8,23.358869,0.031689,500,-1
leader,sync3_2,16,19.408643,0.054632,500,-1
leader,sync3_2,32,19.030610,0.105366,500,-1
leader,sync3_2,64,22.482268,0.280751,500,-1
leader,sync3_2,128,18.930870,0.408324,500,-1
leader,sync3_3,8,19.851364,0.030354,500,-1
leader,sync3_3,16,19.615653,0.053867,500,-1
leader,sync3_3,32,19.244514,0.104132,500,-1
leader,sync3_3,64,19.195246,0.208935,500,-1
leader,sync3_3,128,19.608509,0.419551,500,-1
leader,sync3_4,8,20.848675,0.028869,500,-1
leader,sync3_4,16,20.079437,0.054976,500,-1
leader,sync3_4,32,20.015002,0.118492,500,-1
leader,sync3_4,64,20.001609,0.232123,500,-1
leader,sync3_4,128,21.508857,0.442941,500,-1
leader,sync4_2,8,21.244584,0.056259,500,-1
leader,sync4_2,16,20.370181,0.063445,500,-1
leader,sync4_2,32,20.021798,0.105538,500,-1
leader,sync4_2,64,19.675210,0.210109,500,-1
leader,sync4_2,128,20.216961,0.429684,500,-1
leader,sync4_3,8,25.778044,0.042492,500,-1
leader,sync4_3,16,21.663753,0.056530,500,-1
leader,sync4_3,32,21.584358,0.112636,500,-1
leader,sync4_3,64,21.676566,0.221672,500,-1
leader,sync4_3,128,21.783739,0.423993,500,-1
leader,sync4_4,8,25.093431,0.035993,500,-1
leader,sync4_4,16,24.463440,0.056111,500,-1
leader,sync4_4,32,24.392667,0.108274,500,-1
leader,sync4_4,64,24.581400,0.210302,500,-1
leader,sync4_4,128,24.248449,0.413171,500,-1
leader,sync5_2,8,22.148490,0.092286,500,-1
leader,sync5_2,16,21.636626,0.101437,500,-1
leader,sync5_2,32,21.668553,0.123948,500,-1
leader,sync5_2,64,21.896156,0.206416,500,-1
leader,sync5_2,128,21.802660,0.412720,500,-1
leader,sync5_3,8,28.398720,0.038100,500,-1
leader,sync5_3,16,27.753196,0.060723,500,-1
leader,sync5_3,32,26.756006,0.111340,500,-1
leader,sync5_3,64,27.259850,0.216865,500,-1
leader,sync5_3,128,27.293551,0.423323,500,-1
leader,sync5_4,8,45.126373,0.033925,500,-1
leader,sync5_4,16,44.139421,0.058837,500,-1
leader,sync5_4,32,44.655838,0.118210,500,-1
leader,sync5_4,64,44.528500,0.219450,500,-1
leader,sync5_4,128,46.809050,0.479132,500,-1
egl,N=5 L=2,8,692.876842,-1,0,1948.363296
egl,N=5 L=2,16,389.086619,-1,0,3769.763930
egl,N=5 L=2,32,388.621416,5.163470,500,-1
egl,N=5 L=2,64,405.399987,-1,0,14538.103360
egl,N=5 L=2,128,391.066331,-1,0,30363.778388
egl,N=5 L=4,8,826.302132,-1,0,2019.727404
egl,N=5 L=4,16,839.963637,-1,0,3730.998694
egl,N=5 L=4,32,832.604644,-1,0,7721.434354
egl,N=5 L=4,64,789.595257,10.178605,500,-1
egl,N=5 L=4,128,800.791768,-1,0,28886.658855
egl,N=5 L=6,8,1375.976204,-1,0,2078.042944
egl,N=5 L=6,16,1264.243976,-1,0,3651.336593
egl,N=5 L=6,32,1261.301777,-1,0,7099.098301
egl,N=5 L=6,64,1208.772343,4.352876,500,-1
egl,N=5 L=6,128,1216.828071,-1,0,28277.557163
egl,N=5 L=8,8,1673.143884,-1,0,1855.464182
egl,N=5 L=8,16,1625.996176,-1,0,3767.192737
egl,N=5 L=8,32,1636.567377,-1,0,7769.503734
egl,N=5 L=8,64,1660.809252,-1,0,13442.512533
egl,N=5 L=8,128,1624.387158,17.768972,500,-1
egl,N=10 L=2,8,692466.195996,-1,0,2103.769021
egl,N=10 L=2,16,713418.992492,-1,0,4263.760674
egl,N=10 L=2,32,754954.318320,-1,0,7369.630861
egl,N=10 L=2,64,739749.875937,-1,36,16547.974282
egl,N=10 L=2,128,728788.303162,-1,0,30412.894534
egl,N=10 L=4,8,1675535.465257,-1,0,2439.576678
egl,N=10 L=4,16,1709715.847834,-1,0,4222.472949
egl,N=10 L=4,32,1740383.771745,-1,0,8783.409091
egl,N=10 L=4,64,1707694.095922,-1,0,15956.670737
egl,N=10 L=4,128,1729157.483080,-1,50,33883.136761
herman,3,8,18.101364,0.029647,500,-1
herman,3,16,3.189856,0.057604,500,-1
herman,3,32,3.444007,0.108298,500,-1
herman,3,64,3.272456,0.225425,500,-1
herman,3,128,3.278306,0.432287,500,-1
herman,5,8,4.447826,0.032460,500,-1
herman,5,16,3.803025,0.061803,500,-1
herman,5,32,3.734516,0.109179,500,-1
herman,5,64,3.725464,0.227313,500,-1
herman,5,128,3.726451,0.469542,500,-1
herman,7,8,6.469871,0.036985,500,-1
herman,7,16,5.775857,0.058717,500,-1
herman,7,32,5.805145,0.109894,500,-1
herman,7,64,5.826617,0.213279,500,-1
herman,7,128,5.674281,0.426620,500,-1
herman,9,8,20.261939,0.051209,500,-1
herman,9,16,20.099914,0.068140,500,-1
herman,9,32,19.193966,0.112073,500,-1
herman,9,64,20.107598,0.217223,500,-1
herman,9,128,19.611724,0.428796,500,-1
herman,11,8,144.293737,0.080630,500,-1
herman,11,16,141.095638,0.086310,500,-1
herman,11,32,140.684529,0.132376,500,-1
herman,11,64,139.757153,0.219174,500,-1
herman,11,128,141.916485,0.441675,500,-1
herman,13,8,1259.334109,0.132211,500,-1
herman,13,16,1379.302255,0.119006,500,-1
herman,13,32,1284.999339,0.141529,500,-1
herman,13,64,1301.678931,0.243451,500,-1
herman,13,128,1270.486142,0.443501,500,-1
