name,params,length,output_type,parsetime,vars_per_state,add_size,precomp_time,trace_time
crowds,TotalRuns_3_CrowdSize_10,8,ok,551.496219,57,3139,2207.465900,-1
crowds,TotalRuns_3_CrowdSize_10,16,ok,548.984839,57,3139,9855.980032,14.532042
crowds,TotalRuns_3_CrowdSize_10,32,ok,539.854939,57,3139,34114.477614,62.905776
crowds,TotalRuns_3_CrowdSize_10,64,ok,563.683774,57,3139,86374.771313,98.485919
crowds,TotalRuns_3_CrowdSize_10,128,ok,515.649307,57,3139,94317.898824,164.740332
crowds,TotalRuns_3_CrowdSize_15,8,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_15,16,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_15,32,ok,687.296599,57,6281,67448.923675,84.071678
crowds,TotalRuns_3_CrowdSize_15,64,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_15,128,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_20,8,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_20,16,ok,1038.014766,57,9737,6132.454250,13.446818
crowds,TotalRuns_3_CrowdSize_20,32,ok,1107.742815,57,9737,12787.476137,27.617665
crowds,TotalRuns_3_CrowdSize_20,64,ok,1076.728794,57,9737,6224.643191,60.990083
crowds,TotalRuns_3_CrowdSize_20,128,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_5,8,ok,358.004806,57,1453,1893.693870,-1
crowds,TotalRuns_3_CrowdSize_5,16,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_5,32,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_5,64,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_3_CrowdSize_5,128,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_10,8,ok,924.014753,78,5710,5734.082201,-1
crowds,TotalRuns_4_CrowdSize_10,16,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_10,32,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_10,64,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_10,128,ok,952.475040,78,5837,88270.422824,-1
crowds,TotalRuns_4_CrowdSize_15,8,ok,3008.779450,78,11420,13306.646688,-1
crowds,TotalRuns_4_CrowdSize_15,16,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_15,32,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_15,64,ok,2640.566432,78,11420,526540.072453,1530.834140
crowds,TotalRuns_4_CrowdSize_15,128,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,8,ok,7506.872737,78,17434,19322.608860,-1
crowds,TotalRuns_4_CrowdSize_20,16,ok,7007.965723,78,17434,81792.114466,23.461833
crowds,TotalRuns_4_CrowdSize_20,32,ok,7099.809084,78,17434,342388.337379,317.239031
crowds,TotalRuns_4_CrowdSize_20,64,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,128,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_5,8,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_5,16,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_5,32,ok,638.224825,78,2529,1005.643501,-1
crowds,TotalRuns_4_CrowdSize_5,64,ok,642.895643,78,2529,4283.662872,97.525516
crowds,TotalRuns_4_CrowdSize_5,128,ok,659.659996,78,2418,230637.085457,355.195062
crowds,TotalRuns_5_CrowdSize_10,8,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_5_CrowdSize_10,16,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_5_CrowdSize_10,32,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_5_CrowdSize_10,64,ok,1505.331900,78,7946,1451865.437612,8103.109186
crowds,TotalRuns_5_CrowdSize_10,128,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_5_CrowdSize_15,8,ok,7141.493296,78,15336,19337.778092,-1
crowds,TotalRuns_5_CrowdSize_15,16,ok,6922.284475,78,15346,88600.150992,28.158803
crowds,TotalRuns_5_CrowdSize_15,32,ok,6966.722878,78,15336,445564.860784,560.564304
crowds,TotalRuns_5_CrowdSize_15,64,mem,-1,-1,-1,-1,-1
crowds,TotalRuns_5_CrowdSize_15,128,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_5_CrowdSize_20,8,ok,40230.944967,78,24218,33745.877564,-1
crowds,TotalRuns_5_CrowdSize_20,16,ok,40308.249111,78,24218,167059.625493,20.127713
crowds,TotalRuns_5_CrowdSize_20,32,ok,40655.255895,78,24810,1281939.398749,1015.407665
crowds,TotalRuns_5_CrowdSize_20,64,segfault,-1,-1,-1,-1,-1
crowds,TotalRuns_5_CrowdSize_20,128,segfault,-1,-1,-1,-1,-1
