name,params,length,parse_time,states,trans,precomp_time,newmat,prob,sample_time
brp,16_2,8,11.360638,677,867,151.297561,2,8.000000000000001e-06,3.731406
brp,16_2,16,9.932319,677,867,56.332272,3,9.41192e-07,5.988000
brp,16_2,32,8.488235,677,867,53.981971,4,5.935165549404448e-06,10.942476
brp,16_2,64,8.558659,677,867,56.773001,5,2.3499190658864e-06,19.477429
brp,16_2,128,8.319725,677,867,60.107707,6,7.981227818838935e-13,36.613524
brp,64_2,8,34.990850,2693,3459,596.156895,2,8.000000000000001e-06,31.024785
brp,64_2,16,32.760868,2693,3459,215.861033,3,9.41192e-07,33.277383
brp,64_2,32,31.783432,2693,3459,211.498037,4,5.935165549404448e-06,37.436401
brp,64_2,64,30.422307,2693,3459,235.598312,5,2.3499190658864e-06,45.483062
brp,64_2,128,31.150546,2693,3459,339.624878,6,6.368939964429695e-06,63.902095
brp,N_16_MAX_2,8,11.875681,677,867,163.453854,2,8.000000000000001e-06,3.747657
brp,N_16_MAX_2,16,8.648929,677,867,48.556667,3,9.41192e-07,5.927675
brp,N_16_MAX_2,32,8.351059,677,867,51.146939,4,5.935165549404448e-06,10.397758
brp,N_16_MAX_2,64,9.653475,677,867,61.560382,5,2.3499190658864e-06,20.441387
brp,N_16_MAX_2,128,9.144833,677,867,60.249794,6,7.981227818838935e-13,36.598466
brp,N_16_MAX_3,8,13.537911,886,1155,187.116479,2,0.0,-1
brp,N_16_MAX_3,16,11.098228,886,1155,64.744727,3,2.30496e-07,6.700808
brp,N_16_MAX_3,32,13.328671,886,1155,78.077258,4,3.0279090465620857e-07,12.132305
brp,N_16_MAX_3,64,10.554169,886,1155,82.952040,5,2.2942044049565312e-07,20.028678
brp,N_16_MAX_3,128,12.949606,886,1155,103.597490,6,4.1149001784028667e-13,39.344021
brp,N_16_MAX_4,8,19.275166,1095,1443,234.030086,2,0.0,-1
brp,N_16_MAX_4,16,14.239846,1095,1443,86.707344,3,7.84e-09,7.679294
brp,N_16_MAX_4,32,13.472553,1095,1443,95.157858,4,3.9997067531878195e-09,12.810503
brp,N_16_MAX_4,64,14.912373,1095,1443,128.278555,5,7.920664248495972e-09,22.229974
brp,N_16_MAX_4,128,13.811095,1095,1443,163.495020,6,1.3119592906398483e-13,39.602841
brp,N_16_MAX_5,8,19.688835,1304,1731,272.634332,2,0.0,-1
brp,N_16_MAX_5,16,17.636343,1304,1731,104.093669,3,0.0,-1
brp,N_16_MAX_5,32,15.708896,1304,1731,107.017921,4,2.372447148435302e-10,13.154046
brp,N_16_MAX_5,64,16.458412,1304,1731,172.683444,5,1.6674280947617704e-10,22.169743
brp,N_16_MAX_5,128,16.093874,1304,1731,265.550957,6,3.5269171887896026e-14,41.234734
brp,N_32_MAX_2,8,18.417626,1349,1731,281.286646,2,8.000000000000001e-06,8.226938
brp,N_32_MAX_2,16,15.911273,1349,1731,100.575851,3,9.41192e-07,10.366335
brp,N_32_MAX_2,32,16.829011,1349,1731,105.069556,4,5.935165549404448e-06,14.377810
brp,N_32_MAX_2,64,16.522277,1349,1731,117.466610,5,2.3499190658864e-06,23.463986
brp,N_32_MAX_2,128,15.759097,1349,1731,154.981115,6,6.368939964429695e-06,44.053953
brp,N_32_MAX_3,8,25.152567,1766,2307,381.119005,2,0.0,-1
brp,N_32_MAX_3,16,21.012920,1766,2307,134.228858,3,2.30496e-07,13.989897
brp,N_32_MAX_3,32,22.758165,1766,2307,150.195076,4,3.0279090465620857e-07,18.658834
brp,N_32_MAX_3,64,22.235259,1766,2307,180.078715,5,2.2942044049565312e-07,27.826915
brp,N_32_MAX_3,128,20.719931,1766,2307,290.928921,6,2.4718842989872975e-07,47.097736
brp,N_32_MAX_4,8,33.136289,2183,2883,479.654374,2,0.0,-1
brp,N_32_MAX_4,16,29.355674,2183,2883,177.588758,3,7.84e-09,19.015273
brp,N_32_MAX_4,32,31.888290,2183,2883,195.562301,4,3.9997067531878195e-09,23.656216
brp,N_32_MAX_4,64,27.316739,2183,2883,258.635727,5,7.920664248495972e-09,30.989886
brp,N_32_MAX_4,128,25.220069,2183,2883,530.041245,6,5.366776302680323e-09,50.919357
brp,N_32_MAX_5,8,35.167445,2600,3459,571.890733,2,0.0,-1
brp,N_32_MAX_5,16,38.089668,2600,3459,210.495306,3,0.0,-1
