,name,params,length,output_type_mat,parse_time,states,trans,precomp_time_mat,prob,sample_time,resmax,parsetime,precomp_time_add,trace_time,maxrss,output_type_add,vars_per_state,add_size,setup_time,sample_time_sim,suc_count,total_time
0,brp,N_32_MAX_3,8,ok,48.987375,1766,2307,692.562882,0.0,,111240.0,266.65005833333333,1552.176721,,69224.0,ok,33,1437,77.601151,0.063689,500,
1,brp,N_32_MAX_3,12,numeric,,,,,,,,209.71043966666664,1131.849022333333,,70188.0,ok,33,1432,44.592305,0.063429,500,
2,brp,N_32_MAX_3,16,ok,25.063187,1766,2307,495.613771,2.3e-07,14.669493,113168.0,221.52032,2231.2731165,5.1332439999999995,68576.0,ok,33,1453,34.409455,0.066708,500,
3,brp,N_32_MAX_3,24,ok,25.029297,1766,2307,492.806986,8.06e-08,4.933875,126412.0,211.9121535,2242.651378,8.685491500000001,70632.0,ok,33,1452,37.904059,0.097284,500,
4,brp,N_32_MAX_3,32,ok,24.441074,1766,2307,615.420136,3.03e-07,18.067101,126612.0,237.23765350000002,9804.589997,11.776774,90564.0,segfault,33,1433,36.466396,0.124045,500,
5,brp,N_32_MAX_3,48,ok,24.687339,1766,2307,626.433173,1e-07,9.872276,202556.0,241.8095495,9491.579451000001,18.888724,93342.0,ok,33,1437,34.819441,0.18439,500,
6,brp,N_32_MAX_3,64,ok,25.08826,1766,2307,803.547093,2.29e-07,24.895122,202508.0,230.13069066666665,49112.01811033333,25.876970666666665,136134.66666666666,ok,33,1437,33.832212,0.237313,500,
7,brp,N_32_MAX_3,96,ok,25.02547,1766,2307,822.825533,1.31e-07,21.166593,470756.0,200.27048166666668,48059.149830333336,40.09446233333333,144066.66666666666,ok,33,1446,33.430944,0.353126,500,
8,brp,N_32_MAX_3,128,ok,26.835113,1766,2307,1179.271287,2.47e-07,40.948622,470784.0,202.339256,181229.91754766667,52.467749,275130.6666666667,ok,33,1446,36.369166,0.503037,500,
9,brp,N_64_MAX_4,8,ok,59.761922,4359,5763,1071.787106,0.0,,298468.0,208.181091,1193.010663,,68724.0,ok,35,1867,52.440332,0.038014,500,
10,brp,N_64_MAX_4,12,ok,60.25009,4359,5763,1057.112008,3.2e-09,2.649349,303272.0,252.08965,1362.4473625,4.017341,68946.0,ok,35,1865,51.461278,0.051049,500,
11,brp,N_64_MAX_4,16,ok,60.08769,4359,5763,1419.975206,7.84e-09,81.995432,301516.0,223.14726366666665,5398.538355666667,5.642002333333334,68842.66666666667,ok,35,1870,51.515606,0.065543,500,
12,brp,N_64_MAX_4,24,ok,59.357879,4359,5763,1300.219569,7.7e-09,4.844449,353820.0,200.049623,5306.065644,9.303197,69308.0,segfault,35,1872,52.273556,0.097876,500,
13,brp,N_64_MAX_4,32,ok,59.157718,4359,5763,1673.880998,4e-09,83.792065,353492.0,295.108456,18702.234497,12.006876,99948.0,ok,35,1886,50.797514,0.132792,500,
14,brp,N_64_MAX_4,48,ok,59.866,4359,5763,1689.047766,7.61e-09,10.016467,719556.0,262.8481756666667,19762.195664000003,19.556551333333335,131040.0,ok,35,1870,50.584186,0.186946,500,
15,brp,N_64_MAX_4,64,ok,58.972982,4359,5763,2218.10814,7.92e-09,90.606979,719316.0,190.94434,111478.047213,27.219336,209146.66666666666,ok,35,1466,51.128788,0.243286,500,
16,brp,N_64_MAX_4,96,ok,60.597444,4359,5763,2226.268561,7.43e-09,20.474532,2407524.0,205.4436015,133179.5445225,41.8696135,202540.0,ok,35,1886,51.665372,0.365402,500,
17,brp,N_64_MAX_4,128,ok,59.782903,4359,5763,3579.515996,5.37e-09,103.886614,2407056.0,209.52780099999998,324580.20991166664,57.84409266666666,364632.0,ok,35,1870,52.002639,0.499293,500,
18,crowds,TotalRuns_3_CrowdSize_15,8,ok,548.544903,19228,55948,5803.296886,0.0,,4492660.0,814.236583,7182.401697,,75600.0,segfault,57,6278,144.418418,0.036209,500,
19,crowds,TotalRuns_3_CrowdSize_15,12,ok,559.303386,19228,55948,5930.029598,0.008281,2.53631,4618824.0,929.691221,7474.9019705,10.529807,76938.0,ok,57,6278,145.447987,0.052753,500,
20,crowds,TotalRuns_3_CrowdSize_15,16,ok,552.098776,19228,55948,7972.990535,0.009083926,1107.775572,4618068.0,832.629818,38000.045102000004,12.480837999999999,124840.0,ok,57,6278,145.398626,0.067333,500,
21,crowds,TotalRuns_3_CrowdSize_15,24,ok,560.847663,19228,55948,8446.147936,0.019862253,5.267903,5141340.0,991.998432,33233.35542866667,27.131179,135397.33333333334,ok,57,6274,142.230536,0.098857,500,
22,crowds,TotalRuns_3_CrowdSize_15,32,ok,583.2117,19228,55948,11097.5334,0.025089583,1120.758187,5142364.0,827.803543,94257.457056,71.054931,356212.0,segfault,57,6278,149.154211,0.13328,500,
23,crowds,TotalRuns_3_CrowdSize_15,48,ok,573.887902,19228,55948,10821.78934,0.03035679,11.84574,5800556.0,1083.037438,88059.68590633334,96.35860566666668,365588.0,ok,57,6278,147.921343,0.196804,500,
24,crowds,TotalRuns_3_CrowdSize_15,64,ok,581.78823,19228,55948,13914.99475,0.031560268,1204.80258,5799204.0,813.9207405,599683.028101,123.7618865,453808.0,ok,57,6278,143.286922,0.264739,500,
25,crowds,TotalRuns_3_CrowdSize_15,96,ok,667.778585,19228,55948,15695.0132,0.031974503,27.058883,6444784.0,944.2746870000001,560952.6583266667,164.69983633333334,441296.0,ok,57,6278,143.166619,0.401909,500,
26,crowds,TotalRuns_3_CrowdSize_15,128,ok,638.065649,19228,55948,18235.10503,0.031994383,1231.455179,6446500.0,911.205728,585528.556014,213.952233,801136.0,segfault,57,6277,147.924754,0.567394,500,
27,crowds,TotalRuns_4_CrowdSize_20,8,overflow,,,,,,,,9771.5937435,21866.781254,,206336.0,ok,78,17434,2086.519743,0.036264,500,
28,crowds,TotalRuns_4_CrowdSize_20,12,overflow,,,,,,,,10579.89027,49961.586981,23.789647,205616.0,segfault,78,17434,2105.610538,0.051896,500,
29,crowds,TotalRuns_4_CrowdSize_20,16,overflow,,,,,,,,10042.24844,112942.084598,30.8380925,271080.0,ok,78,17434,2116.489029,0.069519,500,
30,crowds,TotalRuns_4_CrowdSize_20,24,overflow,,,,,,,,9588.111924,118194.958585,64.020568,271138.0,ok,78,17434,2099.981826,0.098136,500,
31,crowds,TotalRuns_4_CrowdSize_20,32,overflow,,,,,,,,9619.478497,775763.482167,1072.79813,717688.0,segfault,78,17435,2083.707956,0.132353,500,
32,crowds,TotalRuns_4_CrowdSize_20,48,overflow,,,,,,,,8796.772596333334,1877790.7249109999,2519.5546600000002,1039366.6666666666,ok,78,17434,2083.407772,0.201383,500,
33,crowds,TotalRuns_4_CrowdSize_20,64,overflow,,,,,,,,9268.250034,8077596.346546,5776.647361,2546292.0,segfault,78,17436,2077.983022,0.254952,500,
34,crowds,TotalRuns_4_CrowdSize_20,96,overflow,,,,,,,,9455.314365,8647301.621698,5341.274527,1948212.0,segfault,78,17435,2120.829186,0.394649,500,
35,crowds,TotalRuns_4_CrowdSize_20,128,overflow,,,,,,,,9324.571419,4347430.23587,449.8768,695308.0,segfault,78,17434,2066.472555,0.509801,500,
36,herman,7,8,ok,21.830412,128,2188,38.316267,0.84679845,21.792714,99792.0,2.5516096666666663,12783.909171333333,640.4883576666666,173729.33333333334,ok,7,158,9.048767,0.039277,500,
37,herman,7,12,ok,21.817222,128,2188,39.226815,0.007293374,2.741044,94968.0,5.186642333333333,11677.916232333335,8.889487,104920.0,ok,7,158,8.337423,0.056016,500,
38,herman,7,16,ok,22.084935,128,2188,59.181118,0.97115077,30.505266,115028.0,4.103692333333334,33657.68315533333,913.291248,255358.66666666666,ok,7,158,8.533098,0.072642,500,
39,herman,7,24,ok,21.86153,128,2188,61.047322,0.007770011,5.473498,106040.0,3.5825556666666665,34048.46225733333,11.283079666666666,156437.33333333334,ok,7,158,8.119563,0.104872,500,
40,herman,7,32,ok,22.436125,128,2188,80.99802,0.998974712,34.328018,128256.0,4.474697333333333,81007.57412800001,1008.9646293333334,299069.3333333333,ok,7,158,8.253875,0.137181,500,
